"Date","Open","High","Low","Close","Volume","Adj Close","Pt / Pt-1","Log Pt / Pt-1"
09/10/58 12:00 AM,48.31,48.31,48.31,48.31,2820000,48.31,0.9969047,-0.0013464
09/09/58 12:00 AM,48.46,48.46,48.46,48.46,3480000,48.46,1.0068564,0.0029675
09/08/58 12:00 AM,48.13,48.13,48.13,48.13,3030000,48.13,1.0033354,0.0014461
09/05/58 12:00 AM,47.97,47.97,47.97,47.97,2520000,47.97,0.9972973,-0.0011754
09/04/58 12:00 AM,48.1,48.1,48.1,48.1,3100000,48.1,0.9983396,-0.0007217
09/03/58 12:00 AM,48.18,48.18,48.18,48.18,3240000,48.18,1.0037500,0.0016256
09/02/58 12:00 AM,48,48,48,48,2930000,48,1.0052356,0.0022679
08/29/58 12:00 AM,47.75,47.75,47.75,47.75,2260000,47.75,1.0018884,0.0008193
08/28/58 12:00 AM,47.66,47.66,47.66,47.66,2540000,47.66,0.9947819,-0.0022721
08/27/58 12:00 AM,47.91,47.91,47.91,47.91,3250000,47.91,1.0002088,0.0000907
08/26/58 12:00 AM,47.9,47.9,47.9,47.9,2910000,47.9,1.0033515,0.0014531
08/25/58 12:00 AM,47.74,47.74,47.74,47.74,2610000,47.74,1.0002095,0.0000910
08/22/58 12:00 AM,47.73,47.73,47.73,47.73,2660000,47.73,1.0020995,0.0009109
08/21/58 12:00 AM,47.63,47.63,47.63,47.63,2500000,47.63,1.0065511,0.0028358
08/20/58 12:00 AM,47.32,47.32,47.32,47.32,2460000,47.32,1.0004228,0.0001836
08/19/58 12:00 AM,47.3,47.3,47.3,47.3,2250000,47.3,1.0016942,0.0007352
08/18/58 12:00 AM,47.22,47.22,47.22,47.22,2390000,47.22,0.9941053,-0.0025676
08/15/58 12:00 AM,47.5,47.5,47.5,47.5,2960000,47.5,0.9914423,-0.0037326
08/14/58 12:00 AM,47.91,47.91,47.91,47.91,3370000,47.91,1.0020916,0.0009074
08/13/58 12:00 AM,47.81,47.81,47.81,47.81,2790000,47.81,1.0016761,0.0007273
08/12/58 12:00 AM,47.73,47.73,47.73,47.73,2600000,47.73,0.9910714,-0.0038950
08/11/58 12:00 AM,48.16,48.16,48.16,48.16,2870000,48.16,1.0022893,0.0009931
08/08/58 12:00 AM,48.05,48.05,48.05,48.05,3650000,48.05,1.0058614,0.0025382
08/07/58 12:00 AM,47.77,47.77,47.77,47.77,3200000,47.77,1.0065318,0.0028275
08/06/58 12:00 AM,47.46,47.46,47.46,47.46,3440000,47.46,0.9939267,-0.0026456
08/05/58 12:00 AM,47.75,47.75,47.75,47.75,4210000,47.75,0.9960367,-0.0017247
08/04/58 12:00 AM,47.94,47.94,47.94,47.94,4000000,47.94,1.0094757,0.0040959
08/01/58 12:00 AM,47.49,47.49,47.49,47.49,3380000,47.49,1.0063573,0.0027522
07/31/58 12:00 AM,47.19,47.19,47.19,47.19,4440000,47.19,1.0021236,0.0009213
07/30/58 12:00 AM,47.09,47.09,47.09,47.09,3680000,47.09,1.0027683,0.0012006
07/29/58 12:00 AM,46.96,46.96,46.96,46.96,3310000,46.96,0.9959703,-0.0017536
07/28/58 12:00 AM,47.15,47.15,47.15,47.15,3940000,47.15,1.0038322,0.0016611
07/25/58 12:00 AM,46.97,46.97,46.97,46.97,4430000,46.97,1.0068596,0.0029689
07/24/58 12:00 AM,46.65,46.65,46.65,46.65,3740000,46.65,1.0053879,0.0023337
07/23/58 12:00 AM,46.4,46.4,46.4,46.4,3550000,46.4,0.9997845,-0.0000936
07/22/58 12:00 AM,46.41,46.41,46.41,46.41,3420000,46.41,1.0017267,0.0007493
07/21/58 12:00 AM,46.33,46.33,46.33,46.33,3440000,46.33,1.0122351,0.0052814
07/18/58 12:00 AM,45.77,45.77,45.77,45.77,3350000,45.77,1.0048299,0.0020925
07/17/58 12:00 AM,45.55,45.55,45.55,45.55,3180000,45.55,1.0066298,0.0028698
07/16/58 12:00 AM,45.25,45.25,45.25,45.25,3240000,45.25,1.0031035,0.0013458
07/15/58 12:00 AM,45.11,45.11,45.11,45.11,3090000,45.11,0.9993354,-0.0002887
